Gender,Year,Age,Country,imputed_flag,mx,logmx
Female,1953,11,CHE,FALSE,0.000472,-7.658531572
Female,1953,12,CHE,FALSE,0.000313,-8.069307367
Female,1953,13,CHE,FALSE,0.000361,-7.9266326
Female,1953,14,CHE,FALSE,0.000531,-7.540748537
Female,1953,15,CHE,FALSE,0.000296,-8.125151104
Female,1953,16,CHE,FALSE,0.000552,-7.501962512
Female,1953,17,CHE,FALSE,0.000583,-7.447323372
Female,1953,18,CHE,FALSE,0.000745,-7.20212634
Female,1953,19,CHE,FALSE,0.000639,-7.355606104
Female,1953,20,CHE,FALSE,0.000445,-7.717436276
Female,1953,21,CHE,FALSE,0.000702,-7.261577154
Female,1953,22,CHE,FALSE,0.000602,-7.415253113
Female,1953,23,CHE,FALSE,0.000596,-7.425269891
Female,1953,24,CHE,FALSE,0.000752,-7.192774234
Female,1953,25,CHE,FALSE,0.0008,-7.13089883
Female,1953,26,CHE,FALSE,0.001093,-6.81882907
Female,1953,27,CHE,FALSE,0.001021,-6.88697274
Female,1953,28,CHE,FALSE,0.000923,-6.987881323
Female,1953,29,CHE,FALSE,0.001146,-6.771477661
Female,1953,30,CHE,FALSE,0.000788,-7.146012468
Female,1953,31,CHE,FALSE,0.001368,-6.59440546
Female,1953,32,CHE,FALSE,0.001251,-6.683812047
Female,1953,33,CHE,FALSE,0.00121,-6.717134919
Female,1953,34,CHE,FALSE,0.001689,-6.383618641
Female,1953,35,CHE,FALSE,0.001405,-6.567717976
Female,1953,36,CHE,FALSE,0.00145,-6.536191723
Female,1953,37,CHE,FALSE,0.001428,-6.551480415
Female,1953,38,CHE,FALSE,0.001443,-6.541030999
Female,1953,39,CHE,FALSE,0.001696,-6.379482742
Female,1953,40,CHE,FALSE,0.002005,-6.212111218
Female,1953,41,CHE,FALSE,0.002267,-6.089297907
Female,1953,42,CHE,FALSE,0.002078,-6.176349386
Female,1953,43,CHE,FALSE,0.002875,-5.851702605
Female,1953,44,CHE,FALSE,0.003424,-5.676945821
Female,1953,45,CHE,FALSE,0.002135,-6.149288632
Female,1953,46,CHE,FALSE,0.003377,-5.690767538
Female,1953,47,CHE,FALSE,0.003866,-5.555534898
Female,1953,48,CHE,FALSE,0.004073,-5.50337545
Female,1953,49,CHE,FALSE,0.004414,-5.422973971
Female,1953,50,CHE,FALSE,0.00516,-5.266818699
Female,1953,51,CHE,FALSE,0.005182,-5.262564197
Female,1953,52,CHE,FALSE,0.006457,-5.042590465
Female,1953,53,CHE,FALSE,0.006936,-4.97103004
Female,1953,54,CHE,FALSE,0.006428,-5.047091831
Female,1953,55,CHE,FALSE,0.007378,-4.90925268
Female,1953,56,CHE,FALSE,0.008261,-4.796209633
Female,1953,57,CHE,FALSE,0.00863,-4.752510774
Female,1953,58,CHE,FALSE,0.009327,-4.674841859
Female,1953,59,CHE,FALSE,0.011098,-4.500990367
Female,1953,60,CHE,FALSE,0.011913,-4.430125038
Female,1953,61,CHE,FALSE,0.01192,-4.429537617
Female,1953,62,CHE,FALSE,0.015465,-4.169175873
Female,1953,63,CHE,FALSE,0.015782,-4.148885229
Female,1953,64,CHE,FALSE,0.017518,-4.044526355
Female,1953,65,CHE,FALSE,0.019438,-3.940525366
Female,1953,66,CHE,FALSE,0.022694,-3.785654707
Female,1953,67,CHE,FALSE,0.025953,-3.651468069
